idUd;anno;dd_numero;importo_oggetto;classe;ha_tabella_hdr
2583428;2023;DD 2038/2023;825.03;impegno_perso;0
2584276;2023;DD 2035/2023;2700.0;senza_impegno;0
2581626;2023;DD 2026/2023;21297.17;impegno_perso;1
2578051;2023;DD 2022/2023;1200.0;impegno_perso;1
2584043;2023;DD 2016/2023;;senza_impegno;0
2582306;2023;DD 1856/2023;33000.0;senza_impegno;0
2582671;2023;DD 1988/2023;;senza_impegno;0
2583649;2023;DD 1986/2023;;senza_impegno;0
2583531;2023;DD 1982/2023;33000.0;senza_impegno;0
2583562;2023;DD 1981/2023;;senza_impegno;0
2583885;2023;DD 1977/2023;3500.0;senza_impegno;0
2583880;2023;DD 1976/2023;1500.0;senza_impegno;0
2582987;2023;DD 1971/2023;;senza_impegno;0
2581019;2023;DD 1967/2023;;senza_impegno;0
2581855;2023;DD 1966/2023;500.0;impegno_perso;1
2583240;2023;DD 1963/2023;;senza_impegno;0
2580172;2023;DD 1962/2023;59780.0;impegno_perso;0
2580359;2023;DD 1949/2023;59780.0;impegno_perso;1
2580235;2023;DD 1768/2023;230637.0;impegno_perso;1
2582290;2023;DD 1934/2023;8754.72;senza_impegno;0
2582233;2023;DD 1933/2023;402558.3;impegno_perso;0
2582178;2023;DD 1932/2023;18000.0;senza_impegno;0
2581305;2023;DD 1929/2023;130.0;impegno_perso;1
2579892;2023;DD 1923/2023;;impegno_perso;0
2583217;2023;DD 1921/2023;;impegno_perso;0
2583227;2023;DD 1916/2023;;senza_impegno;0
2580027;2023;DD 1912/2023;12731.21;impegno_perso;1
2583374;2023;DD 1911/2023;15000.0;senza_impegno;0
2581959;2023;DD 1908/2023;;senza_impegno;0
2582660;2023;DD 1907/2023;;senza_impegno;0
2583101;2023;DD 1895/2023;;senza_impegno;0
2583212;2023;DD 1894/2023;1500.0;senza_impegno;0
2580819;2023;DD 1893/2023;10980.0;impegno_perso;1
2580664;2023;DD 1886/2023;46927.74;impegno_perso;0
2581507;2023;DD 1885/2023;;senza_impegno;0
2577794;2023;DD 1881/2023;30400.0;impegno_perso;1
2582444;2023;DD 1878/2023;3000.0;senza_impegno;0
2583021;2023;DD 1872/2023;;senza_impegno;0
2582479;2023;DD 1863/2023;;impegno_perso;0
2580348;2023;DD 1845/2023;59780.0;impegno_perso;1
2581819;2023;DD 1842/2023;;senza_impegno;0
2582084;2023;DD 1837/2023;10000.0;senza_impegno;0
2581417;2023;DD 1828/2023;2500.0;senza_impegno;0
2581427;2023;DD 1827/2023;1300.0;senza_impegno;0
2579787;2023;DD 1826/2023;59780.0;impegno_perso;1
2581765;2023;DD 1825/2023;40000.0;senza_impegno;0
2581351;2023;DD 1823/2023;15000.0;senza_impegno;0
2581738;2023;DD 1814/2023;;senza_impegno;0
2581596;2023;DD 1807/2023;8000.0;senza_impegno;0
2581965;2023;DD 1804/2023;;senza_impegno;0
2579155;2023;DD 1802/2023;30000.0;senza_impegno;0
2581826;2023;DD 1790/2023;;impegno_perso;0
2581349;2023;DD 1783/2023;194000.0;senza_impegno;0
2581338;2023;DD 1776/2023;60000.0;senza_impegno;0
2578789;2023;DD 1758/2023;;impegno_perso;0
2580565;2023;DD 1756/2023;400000.0;senza_impegno;0
2572281;2023;DD 1753/2023;28694.4;impegno_perso;1
2580588;2023;DD 1752/2023;;senza_impegno;0
2580242;2023;DD 1750/2023;130637.0;impegno_perso;0
2580606;2023;DD 1746/2023;209131.0;impegno_perso;1
2578531;2023;DD 1743/2023;;senza_impegno;0
2580774;2023;DD 1726/2023;10000.0;senza_impegno;0
2580832;2023;DD 1725/2023;;senza_impegno;0
2580956;2023;DD 1724/2023;185.11;senza_impegno;0
2580965;2023;DD 1723/2023;185.17;senza_impegno;0
2581045;2023;DD 1722/2023;10000.0;senza_impegno;0
2577723;2023;DD 1719/2023;;impegno_perso;1
2579645;2023;DD 1700/2023;125812.0;impegno_perso;1
2580559;2023;DD 1696/2023;113937.0;impegno_perso;1
2580472;2023;DD 1670/2023;;senza_impegno;0
2580258;2023;DD 1668/2023;234177.0;impegno_perso;0
2577204;2023;DD 1662/2023;551000.0;impegno_perso;1
2577099;2023;DD 1661/2023;1264000.0;impegno_perso;1
2579390;2023;DD 1655/2023;;senza_impegno;0
2580124;2023;DD 1644/2023;;senza_impegno;0
2580356;2023;DD 1642/2023;;senza_impegno;0
2580365;2023;DD 1641/2023;;senza_impegno;0
2579881;2023;DD 1628/2023;;impegno_perso;0
2580048;2023;DD 1627/2023;15000.0;senza_impegno;0
2580101;2023;DD 1625/2023;15000.0;senza_impegno;0
2579582;2023;DD 1624/2023;;impegno_perso;0
2580012;2023;DD 1599/2023;;senza_impegno;0
2562597;2023;DD 1598/2023;;senza_impegno;0
2580106;2023;DD 1588/2023;;senza_impegno;0
2580013;2023;DD 1587/2023;;impegno_perso;0
2588824;2023;DD 2865/2023;4286.82;impegno_perso;1
2587932;2023;DD 3104/2023;316117.39;impegno_perso;0
2589413;2023;DD 3103/2023;5405.44;impegno_perso;1
2591721;2023;DD 3102/2023;;impegno_perso;0
2590689;2023;DD 3090/2023;3422.1;impegno_perso;1
2589643;2023;DD 3077/2023;40992.0;impegno_perso;1
2589696;2023;DD 3075/2023;;senza_impegno;0
2588086;2023;DD 3073/2023;;impegno_perso;0
2591681;2023;DD 3071/2023;;senza_impegno;0
2590193;2023;DD 3070/2023;35213.51;impegno_perso;1
2591672;2023;DD 3067/2023;;senza_impegno;0
2589106;2023;DD 3065/2023;1500.0;impegno_perso;0
2591504;2023;DD 3056/2023;97429.98;impegno_perso;0
2591625;2023;DD 3053/2023;;senza_impegno;0
2591204;2023;DD 3052/2023;;senza_impegno;0
2591233;2023;DD 3049/2023;16000.0;impegno_perso;0
2591291;2023;DD 3030/2023;;senza_impegno;0
2591422;2023;DD 3028/2023;;senza_impegno;0
2590505;2023;DD 3019/2023;51948.04;impegno_perso;1
2591196;2023;DD 3018/2023;;senza_impegno;0
2590115;2023;DD 3008/2023;8800.0;impegno_perso;1
2591309;2023;DD 3006/2023;;impegno_perso;0
2588782;2023;DD 2996/2023;30000.0;senza_impegno;0
2591057;2023;DD 2992/2023;;impegno_perso;0
2591166;2023;DD 2985/2023;;senza_impegno;0
2591022;2023;DD 2975/2023;;senza_impegno;0
2591061;2023;DD 2974/2023;;senza_impegno;0
2590722;2023;DD 2968/2023;;impegno_perso;0
2590361;2023;DD 2967/2023;;senza_impegno;0
2590967;2023;DD 2965/2023;;senza_impegno;0
2590716;2023;DD 2938/2023;2500.0;senza_impegno;0
2590725;2023;DD 2937/2023;11500.0;senza_impegno;0
2587234;2023;DD 2935/2023;6088.0;impegno_perso;1
2590721;2023;DD 2930/2023;;senza_impegno;0
2586053;2023;DD 2925/2023;475.4;impegno_perso;1
2587768;2023;DD 2924/2023;;impegno_perso;0
2590108;2023;DD 2906/2023;12053.6;impegno_perso;0
2590082;2023;DD 2905/2023;;senza_impegno;0
2590242;2023;DD 2898/2023;;senza_impegno;0
2590619;2023;DD 2890/2023;;senza_impegno;0
2590493;2023;DD 2885/2023;2500.0;senza_impegno;0
2588657;2023;DD 2883/2023;;senza_impegno;0
2588666;2023;DD 2881/2023;;impegno_perso;0
2589565;2023;DD 2880/2023;;senza_impegno;0
2589601;2023;DD 2879/2023;;impegno_perso;0
2589683;2023;DD 2877/2023;;impegno_perso;0
2590163;2023;DD 2876/2023;17000.0;impegno_perso;0
2589316;2023;DD 2864/2023;;senza_impegno;0
2588794;2023;DD 2862/2023;17000.0;impegno_perso;0
2588658;2023;DD 2854/2023;;impegno_perso;1
