dd_numero;capitolo;anno_imp;importo;missione;missione_nome;programma;macro;denominazione;match
DD 5064/2025;080200009001;2025;16.675,86;12;Diritti sociali, politiche sociali e famiglia;1;3;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007;exact
DD 5064/2025;080200009001;2026;37.520,67;12;Diritti sociali, politiche sociali e famiglia;1;3;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007;exact
DD 5064/2025;080200009001;2027;14.591,37;12;Diritti sociali, politiche sociali e famiglia;1;3;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007;exact
DD 5086/2025;060500010001;2025;61,00;07;Turismo;1;3;TURISMO - ACQUISTO DI BENI E SERVIZI - PROGETTO UNESCO RESIDENZE DELLA FAMIGLIA REALE DI SAVOIA - VEDASI CAP. 6500002 ENTRATA - SETT. 69;exact
DD 5098/2025;086300008009;2025;;12;Diritti sociali, politiche sociali e famiglia;4;3;SERVIZI SOCIALI - PRESTAZIONI DI SERVIZI - INTERVENTI A FAVORE DI STRANIERI E NOMADI - FORMAZIONE - VEDASI CAP. 6570000- ENTRATA - settore 019;exact
DD 5099/2025;086300008009;2025;25.000,00;12;Diritti sociali, politiche sociali e famiglia;4;3;SERVIZI SOCIALI - PRESTAZIONI DI SERVIZI - INTERVENTI A FAVORE DI STRANIERI E NOMADI - FORMAZIONE - VEDASI CAP. 6570000- ENTRATA - settore 019;exact
DD 5100/2025;086300010004;2025;14.700,00;12;Diritti sociali, politiche sociali e famiglia;1;3;SERVIZI SOCIALI - PRESTAZIONI DI SERVIZI - INTERVENTI A FAVORE DI MINORI A RISCHIO - FORMAZIONE - VEDASI CAP. 4850000 ENTRATA - settore 019;exact
DD 5148/2025;080200009001;2025;23.352,00;12;Diritti sociali, politiche sociali e famiglia;1;3;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007;exact
DD 5148/2025;080200009001;2026;55.461,00;12;Diritti sociali, politiche sociali e famiglia;1;3;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007;exact
DD 5148/2025;080200009001;2027;25.541,25;12;Diritti sociali, politiche sociali e famiglia;1;3;ASILI NIDO ED INTERVENTI INNOVATIVI PER LA PRIMA INFANZIA - ACQUISTO DI SERVIZI - NIDI E SERVIZI CONVENZIONATI - S.R.E. IVA - settore 007;exact
