cig;dd_numeri;capitoli;missioni;denominazioni_capitoli
B668D08175;DD 5645/2025;;;
B5FD0B6D2F;DD 1810/2025;068620008001;08;EDILIZIA - PRESTAZIONI DI SERVIZI - ATTIVITA' DI MANTENIMENTO ED AGGIORNAMENTO DEL SISTEMA INFORMATIVO TERRITORIALE (SIT) - settore 020
B625CF0931;DD 2223/2025;118630008004;01;SISTEMI INFORMATIVI - PN METRO PLUS - CONDIVISIONE TRASPARENZA E GOVERNO DATI -TO1.1.2.1.D - VEDASI CAP.032500002001 ENTRATA - SETT.27
B61FF48F90;DD 2141/2025;118630008003;01;SISTEMI INFORMATIVI - PN METRO PLUS - DIGITALIZZAZIONE E CHANGE MANAGEMENT - TO1.1.2.1.C - VEDASI CAP.032500002001 ENTRATA - SETT.27
B667F6616B;DD 2244/2025;028300002002;01;COMUNICAZIONE ISTITUZIONALE ED INFORMAZIONE - SPESE PUBBLICITARIE A CARATTERE ISTITUZIONALE - QUOTIDIANI E PERIODICI - LEGGE N. 122/2010 - ART. 6 COMMA 8 - settore 001
B6A4A1AE17;DD 3501/2025;;;
B68084FEC5;DD 3013/2025;075900003004;09;CIRCOSCRIZIONI COMUNALI - PRESTAZIONI DI SERVIZI - MANUTENZIONE AREE VERDI - settore 090
B68E02C19B;DD 2744/2025;;;
B659A45C1E;DD 2187/2025;002610001001;01;ALTRI SERVIZI GENERALI - ACQUISTO BENI DI CONSUMO - CARTA CANCELLERIA E STAMPATI - settore 005
B665E6229B;DD 3049/2025;020100005001;03;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - SERVIZI ESCLUSI - NOLEGGIO VEICOLI PER IL CORPO DI POLIZIA MUNICIPALE - settore 055
B6930D7359;DD 2570/2025;021750002001;01;ELEZIONI - SERVIZI IN OCCASIONE DI REFERENDUM - VEDASI CAP. 5000002 ENTRATA - settore 018
B694654EE7;DD 2553/2025|DD 3649/2025;081200002001;12;CONTRASTO ALLA DISPERSIONE, ORIENTAMENTO, INCLUSIONE - ACQUISTO DI SERVIZI - INTERVENTI PER IL SUCCESSO SCOLASTICO - settore 007
B6635A75F8;DD 3586/2025|DD 4842/2025;113800009001;01;PNRR M5C2-I2.2 CUP C12F22000100001 PIU A10 - MANUTENZIONE STRAORDINARIA E RIQUALIFICAZIONE EDIFICI VIA FREJUS 21 E VIA BIXIO 56 - VEDASI CAP. 31520008 ENTRATA - SETT. 30
B6734739D0;DD 2415/2025;028300002002;01;COMUNICAZIONE ISTITUZIONALE ED INFORMAZIONE - SPESE PUBBLICITARIE A CARATTERE ISTITUZIONALE - QUOTIDIANI E PERIODICI - LEGGE N. 122/2010 - ART. 6 COMMA 8 - settore 001
B66C9B7557;DD 3049/2025;020100005001;03;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - SERVIZI ESCLUSI - NOLEGGIO VEICOLI PER IL CORPO DI POLIZIA MUNICIPALE - settore 055
B657A8BDA1;DD 2352/2025|DD 5129/2025;075700006001;09;TUTELA ANIMALI - ACQUISTO DI SERVIZI - TUTELA ANIMALI IN CITTA' - settore 110
B696F50131;DD 2568/2025;;;
B67E86F0F1;DD 2416/2025;098700011001;14;COMMERCIO E MERCATI - ACQUISTO DI BENI E SERVIZI - ATTIVITA' DI PROMOZIONE DEL COMMERCIO - SETT. 134
B647BE8B9E;DD 3023/2025;097200041004;14;APP. AVANZO TRASFERIMENTI - INNOVAZIONE FONDI EUROPEI - ACQUISTO DI BENI E SERVIZI - PROGETTO TIPS4PED - VEDASI CAP. 012500075 ENTRATA - sett. 068
B6A4ADEFD5;DD 3500/2025;;;
B6930EE653;DD 2570/2025;021750002001;01;ELEZIONI - SERVIZI IN OCCASIONE DI REFERENDUM - VEDASI CAP. 5000002 ENTRATA - settore 018
